"0x0010","0x0017","ASTRA","SES ASTRA","1970-01-01"
"0x0018","0x0018","ICO B1","ICO Satellite Services G.P.","2008-02-20"
"0x0019","0x0019","ICO B2","ICO Satellite Services G.P.","2008-02-20"
"0x0020","0x0020","Sogecable","Sogecable S.A.","1970-01-01"
"0x0021","0x0021","Sogecable 2","Sogecable S.A.","1970-01-01"
"0x0022","0x0022","Sogecable TDT","Sogecable S.A.","2009-03-03"
"0x002F","0x002F","TVNZ Digital","TNVZ  ","1970-01-01"
"0x0030","0x0030","TT Data Services","TechnoTrend Görler GmbH","1970-01-01"
"0x0031","0x0031","Balon","Interactive Technologies PLC","1970-01-01"
"0x0050","0x0059","Türk Telekom","Türk Telekom","2015-10-06"
"0x006E","0x006E","Europe Online Networks (EON)","Europe Online Networks S.A  ","1970-01-01"
"0x006F","0x006F","WRN D-Radiosat","WRN (World Radio Network )","1970-01-01"
"0x0070","0x007F","Eutelsat Satellite System n° 1 - n° 16","EUTELSAT – European Telecommunications Satellite Organization ","1970-01-01"
"0x0080","0x0080","Digital Platform DIGITURK1","Digital Platform  ","1970-01-01"
"0x0081","0x0081","TV Polsat","Telewizja Polsat  ","1970-01-01"
"0x0082","0x0082","TV Cabo Portugal","TV Cabo Portugal  ","1970-01-01"
"0x0083","0x0083","Dijital Yayýn Pazarlama ve Ticaret A.Þ.","Dijital Yayýn Pazarlama ve Ticaret A.Þ .","1970-01-01"
"0x0084","0x0084","Digital Platform DIGITURK2","DIGITURK","1970-01-01"
"0x0085","0x0085","RTV38","RTV38 spa","2006-04-06"
"0x0086","0x0086","TV Numeric","LogiWays","2006-01-26"
"0x0087","0x0087","Vision TV","SES-Sirius","2007-10-26"
"0x0088","0x0088","VisionTV","VisionTV LLC","2007-10-25"
"0x0089","0x0089","Platforma HD","Platforma HD Ltd.","2008-07-15"
"0x0090","0x0090","Eutelsat 1","Eutelsat","2009-03-03"
"0x0091","0x0091","Eutelsat 2","Eutelsat","2009-03-03"
"0x0095","0x0096","Digiturk","Digiturk","2012-02-10"
"0x0097","0x0097","digiturk","digiturk","2014-02-11"
"0x0098","0x0098","Digiturk","Digiturk","2014-05-30"
"0x0099","0x0099","Digiturk","Digiturk","2014-09-30"
"0x0100","0x011F","BBC","BBC","2009-08-19"
"0x0130","0x013F","Eutelsat Service Guide","Eutelsat","1970-01-01"
"0x0140","0x014F","EUTELSAT","EUTELSAT","2020-06-23"
"0x0150","0x0151","EXCAF TELECOM","EXCAF TELECOM","2015-12-16"
"0x0550","0x055F","Eutelsat","Eutelsat S.A.","2007-05-03"
"0x0560","0x0560","Eutelsat VisaVision Radio","Eutelsat S.A.","2007-05-03"
"0x0561","0x0561","Eutelsat VisaVision TV","Eutelsat S.A.","2008-04-08"
"0x0600","0x0600","Ziggo","Ziggo","2013-04-29"
"0x060A","0x060A","Oqaab","Arx Communications, LLC","2018-03-19"
"0x061F","0x061F","BellSouth Entertainment","""BellSouth Entertainment, Atlanta, GA, USA  ""","1970-01-01"
"0x0700","0x0700","Almajd ","Almajd Satellite Broadcasting FZ LLC","2010-10-28"
"0x0701","0x0701","Almajd Plus","Almajd Satellite Broadcasting FZ LLC","2010-10-28"
"0x1000","0x1000","FreeView NZ","TVNZ","2006-08-16"
"0x1000","0x101F","BskyB n° 1 - n° 32","British Sky Broadcasting","1970-01-01"
"0x1020","0x103F","DISH Network 1 - 32","Echostar Communications","1970-01-01"
"0x1040","0x107F","ARD 1 - 64","ARD","1970-01-01"
"0x1080","0x109F","ZDF 1 - 32","ZDF","1970-01-01"
"0x10A0","0x10BF","ORF 1 - 32","ORF","1970-01-01"
"0x10C0","0x10C0","NTV+","NTV +","1970-01-01"
"0x10C1","0x10C1","RTL Television","RTL Television ","1970-01-01"
"0x10C2","0x10C2","Horizonsat","Horizonsat","2016-06-09"
"0x10D1","0x10D7","Primacom n°1 - n°7","Primacom A.G .","1970-01-01"
"0x10D8","0x10DB","Viasat n°1 - n°4","Viasat  ","1970-01-01"
"0x10DC","0x10DF","Teracom n°1 - n°4","Teracom AB  ","1970-01-01"
"0x10E0","0x10E0","tividi","arena Sport Rechte und Marketing GmbH","2006-05-06"
"0x10E1","0x10E1","arena","arena Sport Rechte und Marketing GmbH","2006-05-06"
"0x10F0","0x10F5","TP S.A.","TP S.A.","2011-06-30"
"0x10FA","0x10FA","TF1","TF1","2011-08-26"
"0x1100","0x1100","FreeView NZ","TVNZ","2006-08-16"
"0x1200","0x1200","FreeView NZ","TVNZ","2006-08-16"
"0x1300","0x1300","FreeView NZ","TVNZ","2006-08-16"
"0x1400","0x1400","FreeView NZ","TVNZ","2006-08-16"
"0x1500","0x1500","FreeView NZ","TVNZ","2006-08-16"
"0x1500","0x150F","ExpressVu 1 - 16","ExpressVu Inc.","1970-01-01"
"0x1600","0x1600","FreeView NZ","TVNZ","2006-08-16"
"0x1700","0x1700","FreeView NZ","TVNZ","2006-08-16"
"0x1800","0x1800","FreeView NZ","TVNZ","2006-08-16"
"0x1900","0x1900","FreeView NZ","TVNZ","2006-08-16"
"0x1B58","0x1B78","Canal+ Luxembourg S.ar.l","Canal+ Luxembourg S.ar.l","2022-06-29"
"0x2000","0x2000","Kaleidascope Multichoice","Filmnet","1970-01-01"
"0x2000","0x2000","FreeView NZ","TVNZ","2006-08-16"
"0x2001","0x2001","Osaka Yusen","StarGuide Networks ","1970-01-01"
"0x2002","0x2002","TRICOM","TRICOM","2014-05-13"
"0x2010","0x2010","WIZJATV","UPC Direct Programming BV ","2000-05-22"
"0x2011","0x2013","WIZJATV n°1 - n°3","UPC Direct Programming BV ","2000-05-22"
"0x201A","0x201A","Media Broadcast GmbH","Media Broadcast GmbH","2017-10-18"
"0x2020","0x2022","ITI Neovision S.A.","ITI Neovision S.A.","2014-02-10"
"0x2030","0x2031","Siyaya Free To Air TV","Siyaya Free To Air TV","2016-06-07"
"0x2100","0x212F","TSA 1 - 48","Telefónica Servicios Audiovisuales","1970-01-01"
"0x2130","0x2130","Galaxis","Galaxis Technology AG  ","1970-01-01"
"0x2140","0x2140","PARABOLE REUNION","PARABOLE REUNION","2011-07-08"
"0x2720","0x2725","TRICOM","TRICOM","2014-06-19"
"0x2B00","0x2B07","DTT – Sky New Zealand","Sky Network Television Limited","2011-08-03"
"0x3000","0x3000","TPS 1 - 16","La Télévision Par Satellite","1970-01-01"
"0x3010","0x3015","Sentech 1 - 6","Sentech","1970-01-01"
"0x3100","0x3100","STENTOR","""France Telecom, CNES and DGA""","1970-01-01"
"0x3200","0x320F","Australian Digital Television","Australian Terrestrial Television Networks","1970-01-01"
"0x322B","0x322B","Telstra Saturn Satellite","TelstraSaturn Limited  ","1970-01-01"
"0x332B","0x332B","Telstra Saturn Cable","TelstraSaturn Limited  ","1970-01-01"
"0x3622","0x3622","Irdeto Bouquet of Download data Services","Irdeto","1970-01-01"
"0x3623","0x3623","To be defined (see Wim Mooij)","Mindport ","1970-01-01"
"0x3700","0x3700","ORS comm GmbH & Co KG","ORS comm GmbH & Co KG","2016-11-11"
"0x3800","0x3800","OTE","OTE  ","1970-01-01"
"0x38A0","0x38A0","Telstra International","Telstra International","2011-10-18"
"0x38B0","0x38BF","EUTELSAT","EUTELSAT","2012-07-04"
"0x3900","0x3900","SK-M-TV","Slovak Telekom, a.s.","2013-11-22"
"0x3901","0x3901","SK-D-TV","Slovak Telekom a.s ","2013-11-22"
"0x3902","0x3902","CZ-D-TV","Slovak Telekom, a.s","2015-06-03"
"0x3903","0x3903","CZ-M-TV","Slovak Telekom, a.s.","2021-02-04"
"0x3904","0x3904","ST-ALL-TV","Slovak Telekom, a.s.","2020-12-17"
"0x3905","0x3905","ST-CAM-TV","Slovak Telekom, a.s.","2021-02-04"
"0x4000","0x4000","HPT","HPT","1970-01-01"
"0x4001","0x4001","visAvision","European Telecommunications Satellite Organization","1970-01-01"
"0x4010","0x4010","HRT","HRT","1970-01-01"
"0x4040","0x407F","OpenTV 1 - 64","OpenTV Inc .","1970-01-01"
"0x5000","0x501F","BetaTechnik n° 1 - n° 32","BetaTechnik","1970-01-01"
"0x5F00","0x5FFF","NDS n° 001 - n°255","NDS Ltd","2008-01-22"
"0x6000","0x6000","NDS Test Bouquet","NDS Ltd","1970-01-01"
"0x6001","0x6002","DigiSTAR","STAR Television Productions Ltd","1970-01-01"
"0x6003","0x60BF","NDC 4 - 192","News Datacom","1970-01-01"
"0x60C0","0x60FF","NDS n° 193 - n° 256","NDS","1970-01-01"
"0x6100","0x610F","Space TV","TATA Group & Star","1970-01-01"
"0x6110","0x617F","NDS 6110 - 617F","NDS","2010-02-25"
"0x6180","0x61FF","Information Network Centre (INC) n° 1 - n° 128","Information Network Centre (China)","1970-01-01"
"0x6200","0x62FF","NDS ids 6200 - 62FF","NDS","2010-02-25"
"0x6350","0x635F","SBB","SBB","2020-02-05"
"0x6360","0x6360","Österreichische Rundfunksender GmbH & Co KG","Österreichische Rundfunksender GmbH & Co KG","2021-08-03"
"0x6370","0x6372","CANAL+ Polska S.A.","CANAL+ Polska S.A.","2021-10-27"
"0x6380","0x638E","Beximco Communications Ltd.","Beximco Communications Ltd.","2022-12-15"
"0x6600","0x6600","UPC 1","UPC  ","1970-01-01"
"0x6601","0x6601","UPC 2","UPC  ","1970-01-01"
"0x66A0","0x66A8","Orange Romania S.A.","Orange Romania S.A.","2019-08-06"
"0x6700","0x6719","Tata Sk Ltd","Tata Sk Ltd","2016-09-27"
"0x7000","0x707F","MediaServices #01-#127","Kabel Deutschland ","1970-01-01"
"0x7080","0x7093","Unitymedia #1 - #20","Unitymedia NRW GmbH","2007-11-01"
"0x70A0","0x70A0","M-net Telekommunikations GmbH","M-net Telekommunikations GmbH","2012-03-29"
"0xBBB1","0xBBB9","BBG #01-#09","Bertelsmann Broadband Group","1970-01-01"
"0xBBBB","0xBBBB","BBG","Bertelsmann Broadband Group  ","1970-01-01"
"0xBBBC","0xBBBC","SISAL","SISAL  ","1970-01-01"
"0xC000","0xC01F","Canal+ n° 1 - n° 32","CANAL+ GROUP","1970-01-01"
"0xC020","0xC020","VSTV","CANAL+ INTERNATIONAL","2009-07-09"
"0xC021","0xC021","CANAL+ INTERNATIONAL","CANAL+ INTERNATIONAL","2010-05-11"
"0xC022","0xC024","CYFRA+, CYFRA+ 2, CYFRA+ 3","Canal+ Cyfrowy","2010-08-05"
"0xC025","0xC025","CANAL+ INTERNATIONAL","CANAL+ INTERNATIONAL","2015-11-02"
"0xC030","0xC031","TV Numeric","TV Numeric","2010-07-12"
"0xC040","0xC04F","CANAL+ INTERNATIONAL","CANAL+ INTERNATIONAL","2015-11-30"
"0xC050","0xC06A","Groupe Canal+","Groupe Canal+","2023-04-24"
"0xF200","0xF201","Deutsche Telekom AG","Deutsche Telekom AG","2014-01-17"
"0xFC00","0xFCFF","France Telecom n° 1 - n° 256","France Telecom Orange","2008-03-10"
"0xFD08","0xFD08","Xtra Music","Xtra Music ","1970-01-01"
